xmeas_1,xmeas_2,xmeas_3,xmeas_4,xmeas_5,xmeas_6,xmeas_7,xmeas_8,xmeas_9,xmeas_10,xmeas_11,xmeas_12,xmeas_13,xmeas_14,xmeas_15,xmeas_16,xmeas_17,xmeas_18,xmeas_19,xmeas_20,xmeas_21,xmeas_22,xmeas_23,xmeas_24,xmeas_25,xmeas_26,xmeas_27,xmeas_28,xmeas_29,xmeas_30,xmeas_31,xmeas_32,xmeas_33,xmeas_34,xmeas_35,xmeas_36,xmeas_37,xmeas_38,xmeas_39,xmeas_40,xmeas_41,xmv_1,xmv_2,xmv_3,xmv_4,xmv_5,xmv_6,xmv_7,xmv_8,xmv_9,xmv_10,xmv_11
0.28046,3625.5,4417.4,9.2974,26.609,42.257,2700.2,75.229,120.41,0.32046,80.474,51.905,2628.2,26.624,51.791,3101.1,22.706,65.207,215.46,337.59,94.647,77.379,31.986,8.7468,26.354,6.9542,18.935,1.6565,32.525,13.936,23.929,1.2298,18.948,2.2194,4.9045,2.2655,0.017255,0.85196,0.10428,54.423,43.693,62.981,54.187,27.457,61.809,21.096,38.246,43.705,50.679,43.795,40.551,18.713
0.26561,3661.6,4537.7,9.3315,26.896,42.331,2701.2,74.988,120.4,0.34671,80.596,48.595,2629.5,26.82,48.938,3100.8,21.886,65.298,216.78,338.08,94.644,77.589,32.207,9.0744,26.093,7.0134,19.473,1.6678,32.123,13.641,24.125,1.3137,18.82,2.3201,4.847,2.3192,0.017255,0.85196,0.10428,54.423,43.693,62.553,53.227,26.561,61.742,21.596,41.462,33.965,44.076,43.825,41.551,20.623
0.26891,3673.6,4516.8,9.1864,26.474,42.624,2699.6,74.506,120.39,0.34669,80.406,49.043,2627.2,24.303,49.104,3101.4,23.337,65.339,215.37,337.67,94.769,77.55,32.207,9.0744,26.093,7.0134,19.473,1.6678,32.123,13.641,24.125,1.3137,18.82,2.3201,4.847,2.3192,0.017255,0.85196,0.10428,54.423,43.693,62.347,53.477,26.236,62.408,20.754,41.465,35.284,44.461,44.095,40.082,17.178
0.24816,3621.1,4438.5,9.2407,26.793,42.436,2697.7,75.235,120.41,0.31236,80.166,48.828,2625.5,24.499,48.684,3096.9,22.711,65.319,214.91,338.8,94.673,76.841,31.918,9.0385,26.295,6.8409,18.868,1.6812,32.166,13.903,23.399,1.3535,19.149,2.2808,4.8962,2.2971,0.017255,0.85196,0.10428,54.423,43.693,62.635,53.021,24.263,63.194,21.385,37.691,34.651,43.488,44.284,41.116,18.73
0.24653,3612.8,4438.4,9.2541,27.048,42.032,2695.6,74.792,120.34,0.31273,80.034,50.614,2623.7,24.522,50.571,3097.0,22.644,65.267,215.15,338.3,94.864,77.099,31.918,9.0385,26.295,6.8409,18.868,1.6812,32.166,13.903,23.399,1.3535,19.149,2.2808,4.8962,2.2971,0.017255,0.85196,0.10428,54.423,43.693,62.777,53.023,24.424,61.684,21.271,37.645,39.907,47.856,44.417,39.572,18.896
0.27764,3666.8,4499.7,9.2801,26.945,42.358,2698.2,74.914,120.44,0.34579,80.071,50.227,2625.4,25.383,49.554,3098.5,22.779,65.2,217.69,338.9,94.757,77.28,31.982,8.9981,26.3,6.9225,19.212,1.6457,32.97,13.668,24.031,1.2247,19.047,2.2285,4.8734,2.2546,0.0042476,0.84045,0.08744,53.883,44.663,63.318,53.707,27.13,64.863,21.504,40.543,38.768,45.503,44.318,40.753,18.582
0.27579,3667.8,4522.4,9.3647,27.264,42.382,2699.4,74.217,120.39,0.34333,80.184,49.455,2627.9,24.684,50.147,3100.9,21.995,65.231,219.87,338.89,94.654,77.52,31.982,8.9981,26.3,6.9225,19.212,1.6457,32.97,13.668,24.031,1.2247,19.047,2.2285,4.8734,2.2546,0.0042476,0.84045,0.08744,53.883,44.663,63.301,53.435,27.311,60.32,21.48,40.844,36.497,46.874,44.263,41.025,20.417
0.27365,3647.9,4490.2,9.3804,26.693,42.118,2702.7,74.345,120.41,0.31471,80.477,51.68,2631.6,24.501,50.623,3102.0,23.476,65.272,218.95,338.75,94.583,77.746,32.216,9.0091,27.018,7.0323,18.86,1.6499,32.617,13.91,23.946,1.3425,18.828,2.2814,4.9614,2.2504,0.0042476,0.84045,0.08744,53.883,44.663,62.928,52.932,26.776,61.08,21.586,37.993,43.043,47.975,44.482,41.745,16.866
0.27234,3671.9,4477.8,9.3251,26.719,42.531,2704.0,74.92,120.4,0.31428,80.493,51.829,2632.3,26.094,49.048,3103.7,22.942,65.345,219.63,339.31,94.614,77.56,32.216,9.0091,27.018,7.0323,18.86,1.6499,32.617,13.91,23.946,1.3425,18.828,2.2814,4.9614,2.2504,0.0042476,0.84045,0.08744,53.883,44.663,62.515,53.079,26.904,60.673,21.587,38.045,43.482,44.331,44.552,41.215,18.128
0.25084,3617.9,4501.5,9.2941,27.122,42.471,2702.4,74.401,120.41,0.33938,80.376,49.958,2630.3,23.914,51.106,3102.5,23.6,65.444,220.23,339.3,94.692,77.179,32.552,8.892,25.888,6.9118,18.828,1.6585,32.806,13.707,23.9,1.3741,18.562,2.2356,4.8038,2.2689,0.0042476,0.84045,0.08744,53.883,44.663,62.391,53.617,24.755,61.165,21.833,41.409,37.976,49.094,44.627,41.518,16.578
0.25094,3606.2,4494.1,9.2982,26.777,42.354,2702.8,74.621,120.36,0.34324,80.33,50.034,2630.5,24.371,49.143,3102.5,23.242,65.407,218.24,339.31,94.712,77.17,32.552,8.892,25.888,6.9118,18.828,1.6585,32.806,13.707,23.9,1.3741,18.562,2.2356,4.8038,2.2689,0.01239,0.84439,0.11032,54.028,43.716,62.593,53.705,24.745,60.294,21.567,40.937,38.199,44.55,44.664,40.522,17.428
0.21829,3641.7,4452.6,9.3872,26.756,42.235,2701.5,74.928,120.42,0.32105,80.075,49.999,2629.0,25.261,50.096,3100.8,22.603,65.355,217.9,339.73,94.777,77.105,31.625,8.7095,26.389,6.6396,18.913,1.6162,32.575,13.808,23.471,1.2953,18.691,2.2625,4.9608,2.4003,0.01239,0.84439,0.11032,54.028,43.716,62.954,54.268,21.16,61.748,21.517,38.188,38.096,46.756,44.709,40.897,18.965
0.2173,3641.3,4525.4,9.3391,26.873,42.159,2701.3,73.942,120.37,0.31625,79.95,49.656,2629.0,24.555,50.213,3101.4,23.772,65.289,218.86,339.47,94.74,77.013,31.625,8.7095,26.389,6.6396,18.913,1.6162,32.575,13.808,23.471,1.2953,18.691,2.2625,4.9608,2.4003,0.01239,0.84439,0.11032,54.028,43.716,62.961,53.396,21.258,60.925,21.584,38.774,37.087,47.027,44.644,40.118,16.22
0.30653,3723.8,4442.8,9.419,26.705,42.172,2705.0,75.04,120.43,0.33256,80.111,50.789,2634.2,26.243,48.733,3104.1,23.487,65.238,218.77,339.75,94.512,77.363,31.783,8.938,25.983,6.9395,19.188,1.6857,32.563,13.772,24.55,1.0597,18.382,2.2936,4.775,2.2106,0.01239,0.84439,0.11032,54.028,43.716,64.029,54.163,30.323,59.052,21.774,39.395,40.422,43.602,44.673,41.539,16.873
0.30612,3698.4,4503.8,9.4829,26.926,42.595,2706.1,75.138,120.41,0.33472,80.174,50.078,2633.9,24.709,49.8,3106.8,23.122,65.272,220.53,340.08,94.317,77.539,31.783,8.938,25.983,6.9395,19.188,1.6857,32.563,13.772,24.55,1.0597,18.382,2.2936,4.775,2.2106,0.01239,0.84439,0.11032,54.028,43.716,64.466,53.433,30.363,59.501,21.61,39.133,38.331,46.071,44.535,41.595,17.72
0.29652,3676.8,4444.0,9.3979,26.945,42.063,2707.5,74.896,120.4,0.32596,80.295,50.176,2636.1,26.924,50.109,3106.9,23.661,65.291,221.74,340.01,94.647,77.479,31.747,8.7944,26.484,6.6818,18.762,1.6632,32.762,13.728,23.854,1.2183,19.055,2.2704,4.8087,2.31,0.00092373,0.85938,0.099544,54.097,44.416,62.294,53.426,29.296,61.655,21.921,39.179,38.617,46.785,44.557,41.243,16.432
0.29597,3631.9,4502.2,9.3814,26.679,42.17,2711.2,75.01,120.38,0.32287,80.42,50.984,2639.4,26.274,49.62,3112.4,24.674,65.347,218.46,339.04,94.639,77.929,31.747,8.7944,26.484,6.6818,18.762,1.6632,32.762,13.728,23.854,1.2183,19.055,2.2704,4.8087,2.31,0.00092373,0.85938,0.099544,54.097,44.416,63.068,52.729,29.35,60.902,21.633,39.556,40.997,45.654,44.91,40.246,13.97
0.30281,3695.1,4468.6,9.3101,26.949,42.201,2716.2,75.3,120.41,0.32237,80.663,50.455,2644.5,24.567,48.323,3120.1,22.868,65.432,221.52,337.97,94.565,77.957,32.347,8.8795,26.415,6.9776,19.043,1.6313,32.508,13.794,23.981,1.2447,19.07,2.2615,4.9327,2.2465,0.00092373,0.85938,0.099544,54.097,44.416,64.308,54.143,30.233,63.62,21.427,38.344,39.438,42.654,44.696,42.292,18.212
0.3047,3682.7,4473.7,9.4483,26.742,42.084,2720.1,75.448,120.37,0.32276,80.715,49.875,2648.3,26.156,50.16,3123.9,22.333,65.524,220.43,337.22,94.526,77.688,32.347,8.8795,26.415,6.9776,19.043,1.6313,32.508,13.794,23.981,1.2447,19.07,2.2615,4.9327,2.2465,0.00092373,0.85938,0.099544,54.097,44.416,64.52,54.083,30.047,59.828,21.259,38.296,37.731,46.903,44.846,41.646,19.471
0.24807,3612.2,4495.9,9.3092,26.903,42.297,2717.3,74.406,120.38,0.32831,80.279,49.379,2643.7,24.941,49.944,3124.0,23.789,65.559,218.06,335.68,94.7,77.157,31.671,8.8373,26.877,6.9108,18.65,1.6171,32.218,13.739,24.352,1.2197,18.661,2.2717,4.9296,2.2922,0.00092373,0.85938,0.099544,54.097,44.416,63.189,53.106,24.475,61.576,20.764,39.29,36.273,46.405,45.112,41.069,16.048
0.24868,3655.9,4507.0,9.3715,27.09,42.774,2719.9,75.192,120.36,0.32828,80.147,48.854,2647.0,24.784,48.835,3126.1,24.026,65.46,220.88,334.73,94.912,77.409,31.671,8.8373,26.877,6.9108,18.65,1.6171,32.218,13.739,24.352,1.2197,18.661,2.2717,4.9296,2.2922,0.0067024,0.87881,0.096309,53.645,44.368,62.437,52.973,24.414,62.721,20.876,39.293,34.729,43.839,45.335,40.15,15.474
0.31342,3635.9,4493.4,9.4613,27.147,42.53,2725.3,75.346,120.37,0.3207,80.055,48.268,2651.7,24.531,47.949,3133.8,23.097,65.437,223.93,333.98,94.837,77.204,31.507,8.8406,26.812,7.027,18.42,1.6503,31.646,13.719,25.028,1.1523,18.801,2.2769,4.9582,2.3346,0.0067024,0.87881,0.096309,53.645,44.368,63.309,54.088,31.291,62.86,20.546,38.67,33.002,41.788,45.306,40.189,17.7
0.31474,3660.4,4485.8,9.3259,26.743,42.034,2730.5,73.905,120.37,0.32169,79.951,51.542,2657.3,24.241,50.34,3139.5,23.92,65.36,222.23,333.44,94.992,77.411,31.507,8.8406,26.812,7.027,18.42,1.6503,31.646,13.719,25.028,1.1523,18.801,2.2769,4.9582,2.3346,0.0067024,0.87881,0.096309,53.645,44.368,62.886,54.18,31.16,60.289,20.33,38.549,42.638,47.321,45.704,40.938,15.751
0.34056,3603.9,4513.1,9.4557,26.954,42.296,2742.1,75.226,120.4,0.31877,80.436,49.15,2669.7,24.574,50.59,3149.4,23.865,65.396,225.68,332.89,94.849,78.023,31.074,8.8508,27.411,6.8784,19.164,1.6694,30.949,13.836,25.826,1.4035,18.827,2.2415,4.7957,2.3195,0.0067024,0.87881,0.096309,53.645,44.368,62.758,54.459,32.952,60.205,21.035,38.238,35.6,47.9,45.64,40.75,15.8
0.3383,3637.0,4506.0,9.2655,26.85,42.296,2749.1,74.547,120.37,0.3176,80.541,50.329,2676.0,25.653,49.928,3159.2,22.911,65.493,223.05,332.24,94.859,77.925,31.074,8.8508,27.411,6.8784,19.164,1.6694,30.949,13.836,25.826,1.4035,18.827,2.2415,4.7957,2.3195,0.0067024,0.87881,0.096309,53.645,44.368,62.187,54.544,33.175,62.104,20.471,38.381,39.067,46.368,46.109,40.493,18.032
0.39027,3684.2,4456.1,9.277,27.145,42.074,2751.9,74.82,120.4,0.33392,80.212,51.727,2678.0,23.703,48.537,3164.9,23.904,65.534,228.38,331.24,94.877,77.469,30.571,8.8863,27.808,6.8876,18.436,1.621,30.76,13.541,26.376,1.2986,18.673,2.2586,4.8114,2.3256,0.016048,0.83473,0.098957,53.249,43.719,62.613,53.311,38.147,61.197,20.028,39.446,43.182,43.149,46.425,40.977,15.698
0.38788,3628.7,4459.9,9.2387,26.465,42.408,2756.6,74.324,120.41,0.32991,79.942,49.658,2683.7,24.484,51.645,3168.7,22.072,65.523,227.41,331.89,94.776,76.986,30.571,8.8863,27.808,6.8876,18.436,1.621,30.76,13.541,26.376,1.2986,18.673,2.2586,4.8114,2.3256,0.016048,0.83473,0.098957,53.249,43.719,63.567,53.265,38.382,62.955,20.042,39.935,37.094,50.341,46.991,40.596,20.092
0.45371,3657.1,4573.0,9.4628,27.042,42.432,2764.2,74.565,120.41,0.29519,79.778,49.656,2690.3,23.251,50.256,3177.3,22.899,65.443,229.93,330.74,94.898,77.45,30.193,8.8026,28.404,6.9258,18.581,1.6289,30.267,13.612,27.111,1.3554,18.699,2.2291,4.8097,2.2136,0.016048,0.83473,0.098957,53.249,43.719,62.997,53.694,44.267,60.789,20.353,36.063,37.089,47.127,47.253,40.122,18.109
0.45134,3670.9,4524.4,9.2731,27.134,42.314,2770.3,74.914,120.42,0.29816,79.729,49.748,2696.7,25.294,49.671,3184.1,22.987,65.431,232.21,331.16,94.692,77.474,30.193,8.8026,28.404,6.9258,18.581,1.6289,30.267,13.612,27.111,1.3554,18.699,2.2291,4.8097,2.2136,0.016048,0.83473,0.098957,53.249,43.719,62.759,54.276,44.5,62.154,20.449,35.701,37.358,45.772,47.534,41.033,17.897
0.50737,3641.6,4519.3,9.401,26.829,42.428,2777.5,74.744,120.38,0.30378,79.522,49.924,2703.9,24.297,49.567,3190.3,22.608,65.394,234.43,331.24,94.752,76.99,30.133,8.765,29.078,6.8709,18.213,1.6514,30.308,13.501,27.538,1.2416,19.047,2.1975,4.6377,2.2621,0.016048,0.83473,0.098957,53.249,43.719,62.905,54.025,49.882,61.977,20.512,36.562,37.878,45.532,47.823,40.565,18.845
0.50777,3636.8,4484.7,9.3156,26.987,42.092,2779.8,75.631,120.41,0.30499,79.075,48.301,2706.3,25.449,49.546,3195.4,23.127,65.276,235.32,331.17,94.883,76.826,30.133,8.765,29.078,6.8709,18.213,1.6514,30.308,13.501,27.538,1.2416,19.047,2.1975,4.6377,2.2621,0.02165,0.84476,0.090462,54.243,43.411,62.987,54.44,49.842,60.949,20.462,36.415,33.1,45.483,47.145,40.993,17.667
0.53487,3661.2,4522.0,9.427,26.953,41.972,2788.2,75.754,120.42,0.28936,79.105,49.419,2714.6,25.441,50.753,3201.4,23.101,65.17,232.97,331.62,94.627,77.115,29.846,8.4842,28.575,6.9544,18.748,1.6288,30.175,13.63,27.862,1.2233,18.907,2.1895,4.5991,2.2511,0.02165,0.84476,0.090462,54.243,43.411,63.034,54.962,52.453,61.37,20.933,34.953,36.389,48.278,47.378,40.925,17.722
0.53339,3644.2,4552.0,9.3589,27.345,42.935,2793.5,75.455,120.39,0.29168,78.997,49.667,2719.5,26.282,50.914,3207.7,22.321,65.111,232.76,331.54,94.738,76.858,29.846,8.4842,28.575,6.9544,18.748,1.6288,30.175,13.63,27.862,1.2233,18.907,2.1895,4.5991,2.2511,0.02165,0.84476,0.090462,54.243,43.411,63.327,54.603,52.598,62.644,21.071,34.669,37.121,48.649,47.421,41.083,19.614
0.58615,3622.9,4500.2,9.312,26.904,42.304,2799.3,75.285,120.41,0.30168,78.863,49.41,2726.3,24.346,49.462,3211.7,22.965,65.023,232.88,331.85,94.627,77.052,29.973,8.5894,29.165,6.9399,19.149,1.6066,29.478,13.384,28.119,1.1528,18.426,2.1929,4.6116,2.133,0.02165,0.84476,0.090462,54.243,43.411,62.932,53.959,57.369,58.393,21.07,36.536,36.363,45.288,47.436,41.437,18.099
0.58558,3659.7,4494.0,9.2574,27.111,42.173,2806.1,76.161,120.4,0.3013,78.981,49.582,2733.4,23.791,49.42,3216.5,22.336,64.992,234.64,332.16,94.789,77.146,29.973,8.5894,29.165,6.9399,19.149,1.6066,29.478,13.384,28.119,1.1528,18.426,2.1929,4.6116,2.133,0.02165,0.84476,0.090462,54.243,43.411,62.299,54.033,57.425,61.203,21.668,36.584,36.871,45.192,47.309,41.891,19.587
0.59622,3641.0,4512.5,9.0946,26.526,42.597,2809.9,74.946,120.39,0.27376,78.774,50.842,2737.2,26.789,49.3,3220.8,22.972,64.977,235.89,332.68,94.584,76.754,29.774,8.6316,29.799,6.7387,18.979,1.584,29.728,13.46,28.397,1.3207,17.976,2.1726,4.5793,2.159,0.019647,0.84598,0.09511,54.536,43.435,62.686,52.798,58.629,60.219,21.369,32.88,40.578,44.914,47.488,40.976,18.122
0.59685,3627.4,4440.8,9.0322,27.005,42.304,2813.1,76.4,120.43,0.27743,78.551,48.483,2740.3,24.34,49.504,3223.2,22.573,64.918,236.24,332.65,94.777,76.633,29.774,8.6316,29.799,6.7387,18.979,1.584,29.728,13.46,28.397,1.3207,17.976,2.1726,4.5793,2.159,0.019647,0.84598,0.09511,54.536,43.435,62.92,53.656,58.567,59.782,21.696,32.433,33.636,45.385,47.603,42.103,19.102
0.64076,3726.1,4486.1,9.0636,26.614,42.005,2814.9,76.792,120.38,0.28241,78.219,48.022,2742.2,22.199,49.485,3225.2,23.347,64.863,237.46,333.28,94.607,76.472,29.617,8.4413,30.122,6.7845,18.551,1.6057,28.81,13.438,29.215,1.2634,17.98,2.1359,4.5335,2.0899,0.019647,0.84598,0.09511,54.536,43.435,63.027,53.483,62.759,58.444,21.743,33.253,32.278,45.343,47.643,40.359,17.321
0.63947,3693.7,4457.6,9.1073,26.682,42.365,2818.3,75.817,120.43,0.28042,78.126,50.93,2744.6,25.103,51.691,3227.7,22.076,64.743,236.55,333.41,94.576,76.596,29.617,8.4413,30.122,6.7845,18.551,1.6057,28.81,13.438,29.215,1.2634,17.98,2.1359,4.5335,2.0899,0.019647,0.84598,0.09511,54.536,43.435,63.584,53.824,62.886,57.728,21.769,33.497,40.837,50.447,47.879,41.583,20.366
0.68099,3656.1,4533.6,9.2647,26.959,42.37,2820.5,76.015,120.4,0.27359,78.042,50.479,2748.7,23.939,50.455,3230.0,22.006,64.67,238.5,333.43,94.632,76.674,29.962,8.7425,29.885,6.8664,18.615,1.5878,29.664,13.474,29.643,1.3452,17.92,2.2062,4.4679,2.1073,0.019647,0.84598,0.09511,54.536,43.435,63.944,53.966,66.886,61.069,22.352,33.211,39.51,47.587,47.861,41.069,20.563
0.68041,3633.7,4543.7,8.9555,27.454,42.06,2822.3,76.429,120.42,0.27735,77.807,50.063,2750.4,24.799,50.897,3231.0,22.335,64.661,238.5,334.11,94.541,76.121,29.962,8.7425,29.885,6.8664,18.615,1.5878,29.664,13.474,29.643,1.3452,17.92,2.2062,4.4679,2.1073,0.020607,0.85922,0.09524,54.103,43.67,64.329,53.845,66.942,61.792,22.841,32.753,38.284,48.611,48.066,41.31,19.868
0.67053,3673.1,4505.1,8.9435,26.994,42.014,2823.8,76.23,120.39,0.27977,77.731,49.878,2751.6,25.095,51.349,3231.2,21.993,64.585,242.34,334.02,94.523,76.371,30.031,8.6071,30.152,6.8242,19.097,1.5963,29.075,13.273,29.839,1.0731,17.964,2.0881,4.3596,1.9861,0.020607,0.85922,0.09524,54.103,43.67,62.986,54.182,66.266,57.059,22.406,32.854,37.741,49.656,47.904,40.356,20.699
0.67208,3662.2,4517.8,8.9663,27.053,42.087,2824.5,76.773,120.4,0.2807,77.636,48.719,2752.5,22.897,50.92,3232.6,22.51,64.563,241.46,333.38,94.673,76.19,30.031,8.6071,30.152,6.8242,19.097,1.5963,29.075,13.273,29.839,1.0731,17.964,2.0881,4.3596,1.9861,0.020607,0.85922,0.09524,54.103,43.67,63.173,54.03,66.113,56.101,22.281,32.74,34.329,48.663,48.164,41.28,19.524
0.68651,3676.9,4473.9,9.0716,26.856,42.075,2826.6,76.336,120.38,0.25188,77.636,50.984,2754.0,24.113,50.386,3233.6,23.501,64.548,242.18,333.57,94.682,76.174,29.762,8.5212,30.63,6.9846,18.042,1.5802,28.963,13.217,29.967,1.2094,17.604,2.1801,4.3614,1.9445,0.020607,0.85922,0.09524,54.103,43.67,63.326,53.36,67.862,58.517,22.47,30.227,40.994,47.428,48.278,41.146,17.205
0.68678,3724.8,4459.4,8.8567,26.906,42.374,2828.1,77.35,120.41,0.25249,77.681,49.723,2756.2,24.61,48.023,3233.0,22.17,64.605,241.86,333.99,94.661,76.175,29.762,8.5212,30.63,6.9846,18.042,1.5802,28.963,13.217,29.967,1.2094,17.604,2.1801,4.3614,1.9445,0.020607,0.85922,0.09524,54.103,43.67,62.501,53.533,67.835,58.349,22.918,30.152,37.285,41.958,48.486,40.961,20.391
0.73807,3637.0,4577.1,8.8238,27.114,42.329,2826.9,77.474,120.4,0.24241,77.39,50.133,2753.4,24.67,51.338,3234.3,22.277,64.603,244.27,333.59,94.664,75.884,29.793,8.6612,30.141,6.8151,17.95,1.5757,29.417,13.256,30.131,1.1442,17.867,2.1017,4.2999,2.0639,0.021964,0.91767,0.1008,53.537,43.456,62.583,54.749,72.592,59.017,22.547,29.039,38.491,49.629,48.818,40.92,20.209
0.73676,3640.5,4539.6,8.7762,26.695,42.533,2828.1,76.764,120.38,0.24667,77.299,49.084,2755.6,24.663,49.853,3234.8,22.253,64.569,245.49,334.02,94.853,76.204,29.793,8.6612,30.141,6.8151,17.95,1.5757,29.417,13.256,30.131,1.1442,17.867,2.1017,4.2999,2.0639,0.021964,0.91767,0.1008,53.537,43.456,62.523,55.198,72.721,57.494,22.742,28.519,35.405,46.195,49.051,40.353,20.289
0.75961,3678.0,4584.9,8.9115,26.905,42.654,2830.8,76.864,120.39,0.24115,77.419,51.403,2758.6,25.173,49.549,3237.1,23.723,64.601,246.25,334.01,94.685,75.983,29.701,8.4655,30.452,6.8772,18.309,1.5674,29.057,13.401,30.283,1.1664,17.605,2.1008,4.394,2.108,0.021964,0.91767,0.1008,53.537,43.456,63.348,55.013,74.829,55.731,22.805,29.348,42.227,45.489,49.321,40.52,16.846
0.76242,3693.0,4586.1,8.7615,27.239,42.517,2831.7,77.357,120.41,0.24494,77.418,50.662,2759.2,26.13,49.935,3236.7,23.2,64.647,246.64,333.84,94.572,75.965,29.701,8.4655,30.452,6.8772,18.309,1.5674,29.057,13.401,30.283,1.1664,17.605,2.1008,4.394,2.108,0.021964,0.91767,0.1008,53.537,43.456,63.09,54.999,74.552,57.243,23.07,28.886,40.049,46.384,49.621,41.248,18.12
0.79502,3630.5,4579.4,8.7197,26.679,42.252,2829.8,77.063,120.4,0.2595,77.347,49.32,2757.7,24.601,50.016,3235.1,22.773,64.704,247.29,334.06,94.715,75.76,30.166,8.5583,30.17,6.679,18.296,1.5465,29.539,13.286,30.536,1.1068,18.312,2.1321,4.2309,2.025,0.021964,0.91767,0.1008,53.537,43.456,63.654,54.307,78.079,55.692,22.834,30.262,36.097,46.571,49.898,40.726,19.183
0.79526,3675.9,4569.1,8.7783,26.925,42.18,2826.5,78.201,120.4,0.25741,77.247,49.944,2754.2,26.164,51.632,3231.7,22.472,64.759,253.74,333.63,94.698,75.847,30.166,8.5583,30.17,6.679,18.296,1.5465,29.539,13.286,30.536,1.1068,18.312,2.1321,4.2309,2.025,0.017361,0.93681,0.098592,54.142,43.517,62.873,54.43,78.055,55.435,22.693,30.517,37.934,50.31,51.243,40.471,19.933
0.77359,3722.3,4573.3,8.6255,26.848,42.147,2822.3,77.363,120.41,0.24367,77.141,50.417,2749.6,22.887,50.356,3228.2,22.498,64.856,256.08,333.65,94.701,75.475,29.755,8.4646,30.425,6.966,18.665,1.5853,28.86,13.262,30.204,1.2386,17.963,2.1049,4.2631,2.0357,0.017361,0.93681,0.098592,54.142,43.517,63.913,54.491,75.953,55.717,22.727,28.404,39.326,47.357,52.056,40.874,19.946
0.77214,3720.8,4582.4,8.5961,26.545,42.227,2817.8,77.134,120.39,0.2426,77.03,48.064,2745.4,26.044,49.689,3223.4,22.034,64.945,258.13,333.4,94.757,75.013,29.755,8.4646,30.425,6.966,18.665,1.5853,28.86,13.262,30.204,1.2386,17.963,2.1049,4.2631,2.0357,0.017361,0.93681,0.098592,54.142,43.517,63.937,54.382,76.096,55.152,22.585,28.535,32.402,45.813,52.889,40.468,21.136
0.83558,3628.4,4535.9,8.6002,26.347,42.161,2815.2,78.821,120.4,0.23342,77.051,50.255,2744.1,23.111,49.286,3218.4,22.798,64.978,262.79,333.05,94.672,75.611,29.822,8.578,30.54,6.8913,18.061,1.603,29.16,13.422,29.815,1.2309,17.516,2.0911,4.3054,1.9834,0.017361,0.93681,0.098592,54.142,43.517,63.065,54.083,82.236,56.348,22.742,28.217,38.85,44.882,53.49,40.706,19.338
0.8356,3669.2,4503.4,8.6309,27.455,41.946,2813.0,78.21,120.36,0.23522,77.218,49.435,2739.7,25.918,51.25,3218.4,22.896,65.153,263.61,332.68,95.053,75.32,29.822,8.578,30.54,6.8913,18.061,1.603,29.16,13.422,29.815,1.2309,17.516,2.0911,4.3054,1.9834,0.017361,0.93681,0.098592,54.142,43.517,62.365,54.471,82.233,55.22,22.682,27.998,36.437,49.426,54.423,40.369,19.156
0.85347,3676.7,4582.2,8.4147,26.97,42.27,2809.7,77.92,120.41,0.25046,77.12,48.832,2736.1,25.342,51.491,3214.8,23.991,65.266,270.42,332.88,94.779,75.493,29.583,8.5543,29.617,6.8558,18.662,1.5848,28.666,13.493,30.197,1.2468,17.876,2.1091,4.2444,1.9576,0.025942,0.95628,0.12255,53.843,43.48,62.847,55.079,84.104,56.96,22.38,29.709,34.664,49.984,55.471,40.652,16.592
0.8543,3625.6,4594.4,8.3988,27.046,42.305,2806.5,77.434,120.37,0.25078,77.344,48.088,2734.5,24.45,50.407,3212.6,21.616,65.46,272.73,332.21,94.913,75.767,29.583,8.5543,29.617,6.8558,18.662,1.5848,28.666,13.493,30.197,1.2468,17.876,2.1091,4.2444,1.9576,0.025942,0.95628,0.12255,53.843,43.48,63.726,54.934,84.023,53.621,22.376,29.67,32.472,47.476,56.542,39.817,22.245
0.90045,3626.3,4527.0,8.3336,26.984,42.048,2805.1,77.821,120.41,0.25425,77.625,49.032,2732.6,23.155,52.276,3210.1,21.535,65.7,275.57,332.17,94.84,75.843,29.908,8.7823,30.021,6.823,18.91,1.5378,29.039,13.596,29.874,1.333,18.135,2.1487,4.2084,2.0615,0.025942,0.95628,0.12255,53.843,43.48,64.033,54.336,89.119,54.109,22.581,30.6,35.251,51.801,57.554,41.19,22.437
0.90412,3664.7,4506.0,8.2114,26.949,42.685,2798.7,77.905,120.38,0.25549,77.548,49.905,2725.3,25.108,51.504,3204.9,22.905,65.966,280.23,331.93,94.866,75.25,29.908,8.7823,30.021,6.823,18.91,1.5378,29.039,13.596,29.874,1.333,18.135,2.1487,4.2084,2.0615,0.025942,0.95628,0.12255,53.843,43.48,63.371,54.587,88.759,57.215,22.039,30.448,37.821,50.016,58.392,40.171,19.257
0.89814,3676.6,4510.2,8.3065,27.101,42.299,2790.7,77.847,120.42,0.26439,77.399,49.843,2717.4,24.041,50.204,3198.0,22.133,66.093,281.03,331.24,94.871,75.379,30.094,8.7759,29.862,6.8251,18.758,1.5704,29.292,13.445,29.043,1.2044,18.142,2.1259,4.2111,1.9911,0.025942,0.95628,0.12255,53.843,43.48,63.495,53.927,88.168,52.648,21.878,31.706,37.637,47.006,59.572,40.654,21.128
